name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
감자밥,감자밥,밥류,261.5ml,130,28.45,2.4,3.0,113.0,0.56,13.64,0.68,0.7,,,,,0.0,0.0,0.556,7.99,,1.4,0.0,0.06
감자범벅,감자범벅,"서류, 곡류, 듀류, 견과 및 종실류",112.3ml,95,21.91,2.3,11.0,479.0,0.68,29.41,0.53,3.1,,,,,0.0,0.0,0.49,25.47,,12.17,0.0,0.0
감자범벅,감자범벅,"서류, 곡류, 듀류, 견과 및 종실류",53.6ml,93,21.31,2.3,11.0,483.0,0.68,29.61,0.54,3.1,,,,,0.0,0.0,0.49,25.65,,12.26,0.0,0.0
감자범벅,감자범벅,"서류, 곡류, 듀류, 견과 및 종실류",112.3ml,95,21.91,2.3,11.0,479.0,0.68,29.41,0.53,3.1,,,,,0.0,0.0,0.49,25.47,,12.17,0.0,0.0
감자볶음,감자볶음,채소볶음류,100g,100,12.41,1.75,11.0,311.0,0.31,15.66,0.22,1.7,1338.45,80.92,20.55,0.0,,0.0,0.5700000000000001,9.44,0.0,0.96,0.0,
감자볶음_채소,감자볶음,채소볶음류,130g,108,13.1,2.04,16.0,334.0,0.38,22.51,0.48,2.0,1660.16,128.24,12.45,1.52,,23.0,0.40800000000000003,10.08,0.0,2.81,0.0,
감자볶음_감자만,감자볶음,채소볶음류,100g,134,16.18,1.9,30.0,370.0,0.37,,,2.2,,,,,,,0.672,,,2.15,0.0,
감자볶음,감자볶음,채소볶음류,95ml,52,8.96,1.2,7.0,244.0,0.35,15.88,0.28,1.6,,,,,0.08,0.0,0.244,13.43,,6.23,0.0,0.12
감자볶음_감자,감자볶음,채소볶음류,95ml,52,8.95,1.23,7.0,243.0,0.35,,,1.6,,,,,,0.0,0.246,13.43,,6.23,0.0,
감자볶음_감자_당근,감자볶음,채소볶음류,90ml,47,7.79,1.08,7.0,215.0,0.31,,,1.5,,,,,,15.0,0.239,12.11,,5.35,0.0,
감자볶음_채소,감자볶음,채소볶음류,110ml,88,17.09,2.3,14.0,452.0,0.65,27.69,0.5,3.1,,,,,0.19,24.0,0.505,27.01,,11.68,0.0,0.17
감자볶음_풋고추,감자볶음,채소볶음류,103.7ml,102,16.68,2.8,32.0,400.0,0.72,29.54,0.64,3.1,,,,,0.19,8.0,0.8340000000000001,28.76,,15.29,0.0,0.32
감자볶음_양파,감자볶음,채소볶음류,101.3ml,122,17.12,2.5,14.0,418.0,0.65,27.08,0.48,2.8,,,,,0.33,46.0,0.644,25.29,,9.7,0.0,0.55
감자볶음_햄,감자볶음,채소볶음류,120.1ml,159,13.05,5.0,15.0,403.0,0.67,28.07,0.6,2.3,,,,,0.48,2.0,1.163,20.75,,16.47,0.0,0.73
